Scaled RGen_total,Total_scaled_target_load,Total load minus Rgen (ESUM),ESS_available_discharge_power,ESS_available_charge_power ,TS_ESS_Rgen_only_charge_vect ,TS_ESS_discharge_vect ,TS_ESS_charge_vect ,TS_ESS_Rgen_only_charge ,TS_ESS_resulting_SoC ,Pre_grid_balance,Grid Import,Grid Export,Post_grid_balace,Pre_flex_import_shortfall,Pre_mop_curtailed Export,Actual import shortfall,Actual curtailed export,Actual high priority load,Actual low priority load,Heat load,Scaled Heat load,Electrical load scaled heat,Heat shortfall,Heat surplus,Calculative execution time (s),Parameter index
0,1.1949e+06,1.1949e+06,886.907,3.94155e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0022848,31
0,1.1949e+06,1.1949e+06,886.907,4.07294e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0022962,34
0,1.1949e+06,1.1949e+06,886.907,4.11673e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0010951,35
0,1.1949e+06,1.1949e+06,886.907,4.02914e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0024667,33
0,1.1949e+06,1.1949e+06,886.907,4.16052e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0009132,36
0,1.1949e+06,1.1949e+06,886.907,4.24812e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0020176,38
0,1.1949e+06,1.1949e+06,886.907,4.20432e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0033305,37
0,1.1949e+06,1.1949e+06,886.907,4.29191e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0025661,39
0,1.1949e+06,1.1949e+06,886.907,4.3795e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0006966,41
0,1.1949e+06,1.1949e+06,886.907,4.3357e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0014113,40
0,1.1949e+06,1.1949e+06,886.907,4.46709e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0028584,43
0,1.1949e+06,1.1949e+06,886.907,4.4233e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.003069,42
0,1.1949e+06,1.1949e+06,886.907,4.51088e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0025054,44
0,1.1949e+06,1.1949e+06,886.907,4.55468e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0028379,45
0,1.1949e+06,1.1949e+06,886.907,4.68605e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0006734,48
0,1.1949e+06,1.1949e+06,886.907,4.59847e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0020588,46
0,1.1949e+06,1.1949e+06,886.907,4.64226e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0009524,47
0,1.1949e+06,1.1949e+06,886.907,4.905e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0021675,53
0,1.1949e+06,1.1949e+06,886.907,4.81742e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0025301,51
0,1.1949e+06,1.1949e+06,886.907,4.72984e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0034518,49
0,1.1949e+06,1.1949e+06,886.907,4.86121e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0026614,52
0,1.1949e+06,1.1949e+06,886.907,4.94879e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0023071,54
0,1.1949e+06,1.1949e+06,886.907,4.77363e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0024979,50
0,1.1949e+06,1.1949e+06,886.907,4.99258e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0007162,55
0,1.1949e+06,1.1949e+06,886.907,5.08016e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0006905,57
0,1.1949e+06,1.1949e+06,886.907,5.03637e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0007229,56
